year,month,hour,weekday,crashes,fatal,serious
2023,1,0,1,53,1,8
2023,1,0,2,13,0,1
2023,1,0,3,13,0,3
2023,1,0,4,11,0,1
2023,1,0,5,17,0,4
2023,1,0,6,18,0,4
2023,1,0,7,33,0,4
2023,1,1,1,53,0,8
2023,1,1,2,7,0,2
2023,1,1,3,12,0,1
2023,1,1,4,10,1,3
2023,1,1,5,14,0,3
2023,1,1,6,11,0,1
2023,1,1,7,33,0,6
2023,1,2,1,44,0,11
2023,1,2,2,8,0,0
2023,1,2,3,8,0,2
2023,1,2,4,7,0,1
2023,1,2,5,7,0,3
2023,1,2,6,10,1,1
2023,1,2,7,33,0,5
2023,1,3,1,40,1,8
2023,1,3,2,13,0,0
2023,1,3,3,10,1,2
2023,1,3,4,3,0,2
2023,1,3,5,3,0,1
2023,1,3,6,3,1,0
2023,1,3,7,27,0,8
2023,1,4,1,44,0,9
2023,1,4,2,13,0,3
2023,1,4,3,12,0,2
2023,1,4,4,9,1,1
2023,1,4,5,17,1,4
2023,1,4,6,7,0,1
2023,1,4,7,22,0,3
2023,1,5,1,48,0,8
2023,1,5,2,70,0,12
2023,1,5,3,60,1,14
2023,1,5,4,48,0,6
2023,1,5,5,81,1,17
2023,1,5,6,44,0,6
2023,1,5,7,28,1,3
2023,1,6,1,36,1,8
2023,1,6,2,137,0,21
2023,1,6,3,149,1,28
2023,1,6,4,140,2,23
2023,1,6,5,157,1,28
2023,1,6,6,99,2,8
2023,1,6,7,31,0,7
2023,1,7,1,26,1,6
2023,1,7,2,350,5,50
2023,1,7,3,395,2,48
2023,1,7,4,353,1,49
2023,1,7,5,361,4,49
2023,1,7,6,238,1,31
2023,1,7,7,19,0,6
2023,1,8,1,30,0,3
2023,1,8,2,150,0,19
2023,1,8,3,197,1,30
2023,1,8,4,196,0,19
2023,1,8,5,195,2,21
2023,1,8,6,107,0,17
2023,1,8,7,32,0,11
2023,1,9,1,33,0,7
2023,1,9,2,140,2,19
2023,1,9,3,140,1,19
2023,1,9,4,115,4,21
2023,1,9,5,137,2,22
2023,1,9,6,107,2,11
2023,1,9,7,69,1,14
2023,1,10,1,42,0,13
2023,1,10,2,158,5,27
2023,1,10,3,147,2,28
2023,1,10,4,87,3,16
2023,1,10,5,124,1,15
2023,1,10,6,91,2,18
2023,1,10,7,77,0,19
2023,1,11,1,55,0,13
2023,1,11,2,156,2,21
2023,1,11,3,148,1,28
2023,1,11,4,109,0,21
2023,1,11,5,119,1,11
2023,1,11,6,138,2,25
2023,1,11,7,114,1,16
2023,1,12,1,70,1,16
2023,1,12,2,167,1,18
2023,1,12,3,186,1,27
2023,1,12,4,125,1,24
2023,1,12,5,124,1,19
2023,1,12,6,187,2,20
2023,1,12,7,106,1,6
2023,1,13,1,80,1,13
2023,1,13,2,190,1,24
2023,1,13,3,165,0,32
2023,1,13,4,144,2,22
2023,1,13,5,148,0,17
2023,1,13,6,242,4,25
2023,1,13,7,122,2,18
2023,1,14,1,91,0,14
2023,1,14,2,182,0,31
2023,1,14,3,185,2,37
2023,1,14,4,157,1,22
2023,1,14,5,162,0,20
2023,1,14,6,203,1,26
2023,1,14,7,117,1,16
2023,1,15,1,103,0,27
2023,1,15,2,211,2,35
2023,1,15,3,209,1,23
2023,1,15,4,173,0,24
2023,1,15,5,183,0,22
2023,1,15,6,194,2,31
2023,1,15,7,108,0,21
2023,1,16,1,68,1,14
2023,1,16,2,238,3,29
2023,1,16,3,224,3,40
2023,1,16,4,178,1,16
2023,1,16,5,197,2,24
2023,1,16,6,128,0,22
2023,1,16,7,127,1,29
2023,1,17,1,90,1,17
2023,1,17,2,302,4,46
2023,1,17,3,292,0,36
2023,1,17,4,228,3,33
2023,1,17,5,242,1,37
2023,1,17,6,200,2,29
2023,1,17,7,137,2,18
2023,1,18,1,101,2,14
2023,1,18,2,191,0,31
2023,1,18,3,228,5,26
2023,1,18,4,152,3,18
2023,1,18,5,172,3,20
2023,1,18,6,159,1,38
2023,1,18,7,127,1,24
2023,1,19,1,65,1,11
2023,1,19,2,122,1,24
2023,1,19,3,110,0,16
2023,1,19,4,88,1,11
2023,1,19,5,108,1,15
2023,1,19,6,115,3,15
2023,1,19,7,97,2,14
2023,1,20,1,45,0,10
2023,1,20,2,76,0,12
2023,1,20,3,70,0,12
2023,1,20,4,48,0,7
2023,1,20,5,71,1,13
2023,1,20,6,63,0,15
2023,1,20,7,78,1,11
2023,1,21,1,43,0,10
2023,1,21,2,60,2,12
2023,1,21,3,51,0,13
2023,1,21,4,42,1,7
2023,1,21,5,63,0,13
2023,1,21,6,61,0,10
2023,1,21,7,73,0,15
2023,1,22,1,35,0,6
2023,1,22,2,32,0,7
2023,1,22,3,33,1,5
2023,1,22,4,37,0,10
2023,1,22,5,42,2,11
2023,1,22,6,52,0,6
2023,1,22,7,56,0,10
2023,1,23,1,24,0,8
2023,1,23,2,17,0,2
2023,1,23,3,32,0,6
2023,1,23,4,26,0,8
2023,1,23,5,35,0,10
2023,1,23,6,34,0,7
2023,1,23,7,36,1,7
2023,2,0,1,36,0,6
2023,2,0,2,13,1,1
2023,2,0,3,9,1,1
2023,2,0,4,8,0,1
2023,2,0,5,21,0,5
2023,2,0,6,23,0,7
2023,2,0,7,31,1,8
2023,2,1,1,35,0,7
2023,2,1,2,5,0,1
2023,2,1,3,6,0,0
2023,2,1,4,7,0,1
2023,2,1,5,7,2,0
2023,2,1,6,14,0,3
2023,2,1,7,36,1,11
2023,2,2,1,27,0,9
2023,2,2,2,8,1,3
2023,2,2,3,5,0,1
2023,2,2,4,5,0,2
2023,2,2,5,6,0,0
2023,2,2,6,9,0,2
2023,2,2,7,28,2,4
2023,2,3,1,26,1,7
2023,2,3,2,7,0,2
2023,2,3,3,7,0,3
2023,2,3,4,5,0,1
2023,2,3,5,8,0,2
2023,2,3,6,8,0,3
2023,2,3,7,20,0,7
2023,2,4,1,32,0,6
2023,2,4,2,15,0,3
2023,2,4,3,16,0,4
2023,2,4,4,12,0,0
2023,2,4,5,10,0,1
2023,2,4,6,13,0,2
2023,2,4,7,21,0,3
2023,2,5,1,33,1,8
2023,2,5,2,59,0,8
2023,2,5,3,47,0,9
2023,2,5,4,42,0,6
2023,2,5,5,53,2,9
2023,2,5,6,46,0,9
2023,2,5,7,36,0,8
2023,2,6,1,13,0,4
2023,2,6,2,108,0,21
2023,2,6,3,112,1,12
2023,2,6,4,113,1,12
2023,2,6,5,126,0,24
2023,2,6,6,107,0,20
2023,2,6,7,35,0,5
2023,2,7,1,24,1,6
2023,2,7,2,238,0,31
2023,2,7,3,246,0,30
2023,2,7,4,226,0,25
2023,2,7,5,259,1,28
2023,2,7,6,155,1,18
2023,2,7,7,28,1,7
2023,2,8,1,22,1,8
2023,2,8,2,151,1,17
2023,2,8,3,175,2,22
2023,2,8,4,166,0,24
2023,2,8,5,168,0,29
2023,2,8,6,118,1,16
2023,2,8,7,46,1,8
2023,2,9,1,31,1,5
2023,2,9,2,124,3,14
2023,2,9,3,160,1,15
2023,2,9,4,126,1,31
2023,2,9,5,131,0,20
2023,2,9,6,107,3,16
2023,2,9,7,77,1,10
2023,2,10,1,48,1,8
2023,2,10,2,110,0,13
2023,2,10,3,144,0,18
2023,2,10,4,122,1,22
2023,2,10,5,123,0,16
2023,2,10,6,111,2,18
2023,2,10,7,106,2,17
2023,2,11,1,48,0,9
2023,2,11,2,130,4,24
2023,2,11,3,153,3,24
2023,2,11,4,122,1,21
2023,2,11,5,151,3,18
2023,2,11,6,153,2,16
2023,2,11,7,118,0,10
2023,2,12,1,67,1,10
2023,2,12,2,135,0,25
2023,2,12,3,152,1,19
2023,2,12,4,153,3,18
2023,2,12,5,131,1,16
2023,2,12,6,200,2,25
2023,2,12,7,133,0,18
2023,2,13,1,87,2,15
2023,2,13,2,159,4,18
2023,2,13,3,183,2,17
2023,2,13,4,178,2,24
2023,2,13,5,180,2,25
2023,2,13,6,204,0,27
2023,2,13,7,133,3,16
2023,2,14,1,84,2,11
2023,2,14,2,177,3,25
2023,2,14,3,233,2,35
2023,2,14,4,191,1,30
2023,2,14,5,180,1,25
2023,2,14,6,190,1,26
2023,2,14,7,140,0,18
2023,2,15,1,94,1,19
2023,2,15,2,226,0,37
2023,2,15,3,241,4,36
2023,2,15,4,226,1,29
2023,2,15,5,204,2,23
