date,kp_max,kp_mean,temperature_2m_max,temperature_2m_min,temperature_2m_mean,surface_pressure_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration
2015-01-01,2.333,1.499875,-7.7,-18.9,-14.3,962.4,0.0,0.0,0.0,8.5,27.4,32134.21,32761.07
2015-01-02,4.0,2.33325,-2.3,-16.6,-10.2,961.7,0.0,0.0,0.0,8.3,16.9,32182.69,32808.28
2015-01-03,4.667,2.25,2.0,-9.7,-3.8,957.8,0.2,0.0,0.28,13.4,36.4,32235.8,32860.08
2015-01-04,5.0,2.875,4.2,-4.7,-1.2,947.7,0.7,0.7,0.0,21.1,56.2,12256.68,32916.33
2015-01-05,5.333,2.6666250000000002,-2.1,-8.3,-4.5,951.0,0.3,0.0,0.42,16.3,41.4,32278.29,32976.89
2015-01-06,3.667,2.583375,-2.8,-8.6,-6.5,950.3,0.2,0.0,0.28,14.0,34.2,32007.45,33041.63
2015-01-07,6.333,3.4998750000000003,-6.7,-11.2,-9.2,960.9,0.0,0.0,0.07,8.7,24.5,29106.38,33110.41
2015-01-08,4.0,2.5835,-1.8,-11.5,-6.7,966.7,0.0,0.0,0.0,4.1,9.4,27433.1,33183.09
2015-01-09,2.333,1.75,2.5,-8.8,-3.5,962.4,0.0,0.0,0.0,8.7,24.1,23241.36,33259.51
2015-01-10,3.333,2.0415,4.0,-5.0,0.2,949.1,1.2,0.2,0.84,10.9,31.0,1178.83,33339.56
2015-01-11,3.0,2.291625,10.7,-0.9,3.5,945.2,0.0,0.0,0.0,11.7,31.3,32348.86,33423.09
2015-01-12,2.667,1.749875,2.9,-3.2,-0.5,954.0,3.0,0.0,2.45,19.6,51.1,26187.85,33509.95
2015-01-13,2.667,1.875125,4.6,-8.3,-1.4,960.5,0.0,0.0,0.0,6.4,19.1,32390.52,33600.02
2015-01-14,2.667,1.500125,8.4,-2.0,1.6,953.4,0.0,0.0,0.0,4.8,13.3,32400.0,33693.15
2015-01-15,3.0,1.124875,4.4,-1.4,0.6,952.3,0.0,0.0,0.0,12.6,35.3,32400.0,33789.2
2015-01-16,3.0,1.666625,6.9,-2.5,1.3,955.7,0.0,0.0,0.0,6.4,16.9,32400.0,33888.05
2015-01-17,3.0,1.41675,7.9,-1.1,2.4,955.4,0.0,0.0,0.0,7.9,21.6,32400.0,33989.56
2015-01-18,2.333,0.8748750000000001,10.5,0.7,4.5,954.8,0.3,0.3,0.0,7.9,19.4,17897.5,34093.6
2015-01-19,2.333,0.9583750000000001,8.8,-0.1,4.1,948.9,0.7,0.7,0.0,10.6,31.0,32400.0,34200.03
2015-01-20,1.333,0.499875,10.6,2.4,5.8,948.1,0.0,0.0,0.0,8.0,23.4,20786.28,34308.86
2015-01-21,3.667,2.291625,11.8,1.8,6.0,947.9,0.0,0.0,0.0,10.0,20.9,32400.0,34421.24
2015-01-22,3.667,2.5,11.6,1.3,4.7,949.9,0.0,0.0,0.0,8.6,23.0,32400.0,34537.33
2015-01-23,3.0,2.000125,9.6,2.4,5.7,943.3,3.1,3.1,0.0,14.2,38.5,1795.99,34656.9
2015-01-24,2.333,1.416625,6.0,3.0,4.2,940.0,4.7,4.7,0.0,6.5,14.4,5817.5,34779.77
2015-01-25,2.667,1.250125,3.8,0.3,2.4,944.3,3.9,1.3,1.82,8.2,20.9,6277.78,34905.73
2015-01-26,4.0,2.95825,3.8,-0.4,1.0,952.3,0.2,0.1,0.21,6.1,17.3,10002.04,35034.58
2015-01-27,3.333,2.5416250000000002,4.3,-0.9,0.9,948.0,1.1,0.0,1.26,7.6,23.0,10537.21,35166.12
2015-01-28,3.0,1.666625,3.4,-1.1,0.7,945.7,0.0,0.0,0.0,7.3,20.9,8210.15,35300.17
2015-01-29,3.667,1.8752499999999999,7.5,-0.6,2.3,941.4,0.0,0.0,0.0,16.0,37.4,31152.28,35436.54
2015-01-30,3.333,2.125,8.9,-1.2,3.9,928.8,0.0,0.0,0.0,23.5,67.7,27104.85,35575.04
2015-01-31,3.667,2.0415,8.8,2.2,5.5,924.4,6.8,4.7,1.47,22.5,72.7,28800.0,35715.49
2015-02-01,5.0,3.25,7.0,0.4,2.4,924.9,16.6,0.8,11.06,19.9,66.6,21613.99,35857.72
2015-02-02,5.0,3.8751249999999997,6.1,0.3,3.2,931.0,0.3,0.3,0.0,12.7,40.0,32400.0,36001.55
