date,total,fatal,serious
2021-01-01,110,4,26
2021-01-02,176,3,26
2021-01-03,124,3,26
2021-01-04,160,3,33
2021-01-05,177,2,32
2021-01-06,192,3,37
2021-01-07,204,0,41
2021-01-08,228,1,51
2021-01-09,183,1,35
2021-01-10,118,2,23
2021-01-11,141,3,27
2021-01-12,195,5,41
2021-01-13,170,5,21
2021-01-14,217,3,25
2021-01-15,201,3,35
2021-01-16,127,2,33
2021-01-17,135,3,23
2021-01-18,171,4,44
2021-01-19,151,3,19
2021-01-20,197,1,37
2021-01-21,191,8,36
2021-01-22,354,6,85
2021-01-23,193,2,33
2021-01-24,171,2,28
2021-01-25,209,0,35
2021-01-26,158,2,35
2021-01-27,177,3,39
2021-01-28,198,5,41
2021-01-29,224,1,48
2021-01-30,169,4,39
2021-01-31,149,1,26
2021-02-01,183,1,33
2021-02-02,187,1,34
2021-02-03,179,4,26
2021-02-04,207,5,40
2021-02-05,250,1,53
2021-02-06,197,2,36
2021-02-07,112,1,16
2021-02-08,165,0,19
2021-02-09,145,1,23
2021-02-10,192,2,33
2021-02-11,195,1,40
2021-02-12,190,0,33
2021-02-13,156,1,30
2021-02-14,125,2,20
2021-02-15,191,1,42
2021-02-16,166,2,27
2021-02-17,183,2,36
2021-02-18,172,1,27
2021-02-19,203,2,35
2021-02-20,174,1,40
2021-02-21,141,1,36
2021-02-22,192,4,41
2021-02-23,211,3,53
2021-02-24,158,1,30
2021-02-25,194,4,42
2021-02-26,326,1,62
2021-02-27,258,4,66
2021-02-28,199,7,44
2021-03-01,172,2,37
2021-03-02,170,4,32
2021-03-03,210,2,43
2021-03-04,180,4,30
2021-03-05,192,3,37
2021-03-06,204,5,48
2021-03-07,159,1,43
2021-03-08,214,0,43
2021-03-09,236,5,44
2021-03-10,242,2,46
2021-03-11,243,2,41
2021-03-12,274,1,54
2021-03-13,231,3,43
2021-03-14,151,3,30
2021-03-15,233,2,44
2021-03-16,229,2,47
2021-03-17,236,3,49
2021-03-18,222,0,31
2021-03-19,268,4,59
2021-03-20,172,2,38
2021-03-21,175,3,33
2021-03-22,234,5,43
2021-03-23,205,3,46
2021-03-24,241,2,60
2021-03-25,242,2,39
2021-03-26,254,1,48
2021-03-27,201,1,54
2021-03-28,129,3,32
2021-03-29,267,5,51
2021-03-30,345,6,78
2021-03-31,293,3,68
2021-04-01,277,3,39
2021-04-02,248,4,62
2021-04-03,237,7,59
2021-04-04,230,6,54
2021-04-05,184,0,46
2021-04-06,232,4,33
2021-04-07,207,5,52
2021-04-08,211,2,39
2021-04-09,262,1,48
2021-04-10,234,1,63
2021-04-11,188,4,32
2021-04-12,297,7,46
2021-04-13,282,3,73
2021-04-14,273,4,51
2021-04-15,301,5,50
2021-04-16,350,5,71
2021-04-17,330,5,76
2021-04-18,223,4,54
2021-04-19,307,5,64
2021-04-20,311,1,65
2021-04-21,312,2,63
2021-04-22,386,5,67
2021-04-23,404,5,80
2021-04-24,368,6,81
2021-04-25,269,3,69
2021-04-26,332,4,75
2021-04-27,272,2,63
2021-04-28,265,2,55
2021-04-29,305,4,61
2021-04-30,366,1,56
2021-05-01,285,5,59
2021-05-02,259,4,56
2021-05-03,200,2,44
2021-05-04,295,3,53
2021-05-05,307,0,50
2021-05-06,296,4,67
2021-05-07,341,3,64
2021-05-08,232,4,37
2021-05-09,229,1,53
2021-05-10,297,3,57
2021-05-11,298,2,57
2021-05-12,294,4,61
2021-05-13,303,4,52
2021-05-14,340,7,72
2021-05-15,268,2,50
2021-05-16,215,4,61
2021-05-17,301,2,63
2021-05-18,319,5,78
2021-05-19,311,4,58
2021-05-20,307,2,53
2021-05-21,360,7,74
2021-05-22,287,0,60
2021-05-23,225,2,49
2021-05-24,293,0,45
2021-05-25,278,2,44
2021-05-26,287,4,45
2021-05-27,375,6,78
2021-05-28,360,7,61
2021-05-29,325,5,84
2021-05-30,332,12,79
2021-05-31,301,6,81
2021-06-01,379,6,92
2021-06-02,335,6,74
2021-06-03,323,5,61
2021-06-04,365,4,80
2021-06-05,336,5,83
2021-06-06,265,3,73
2021-06-07,316,2,79
2021-06-08,378,4,84
2021-06-09,364,3,87
2021-06-10,334,4,83
2021-06-11,376,2,86
2021-06-12,343,3,84
2021-06-13,320,4,80
2021-06-14,320,5,71
2021-06-15,362,3,78
2021-06-16,350,6,72
2021-06-17,319,1,61
2021-06-18,373,8,70
2021-06-19,265,9,60
2021-06-20,199,5,40
2021-06-21,248,2,44
2021-06-22,319,3,61
2021-06-23,360,3,75
2021-06-24,316,1,88
2021-06-25,338,2,71
2021-06-26,334,8,84
2021-06-27,230,2,65
2021-06-28,289,2,59
2021-06-29,297,5,64
2021-06-30,270,1,46
2021-07-01,339,7,71
2021-07-02,344,4,68
2021-07-03,300,7,64
2021-07-04,244,2,64
2021-07-05,316,2,68
2021-07-06,302,3,55
2021-07-07,312,4,63
2021-07-08,300,10,75
2021-07-09,329,8,75
2021-07-10,290,3,72
2021-07-11,243,5,71
2021-07-12,324,7,69
2021-07-13,329,3,56
2021-07-14,305,4,71
2021-07-15,313,5,67
2021-07-16,382,0,89
2021-07-17,339,11,94
2021-07-18,324,9,96
2021-07-19,310,4,68
2021-07-20,383,6,87
2021-07-21,344,7,79
2021-07-22,367,6,74
2021-07-23,338,5,57
2021-07-24,262,3,70
2021-07-25,253,6,61
2021-07-26,294,7,66
2021-07-27,279,1,54
2021-07-28,274,9,53
2021-07-29,295,5,65
2021-07-30,282,4,50
2021-07-31,292,9,60
2021-08-01,233,5,49
2021-08-02,244,7,47
2021-08-03,305,3,62
2021-08-04,324,4,71
2021-08-05,289,4,49
2021-08-06,302,3,59
2021-08-07,304,4,66
2021-08-08,243,2,54
2021-08-09,266,4,56
2021-08-10,294,3,53
2021-08-11,286,4,73
2021-08-12,296,2,72
2021-08-13,318,7,77
2021-08-14,265,3,66
2021-08-15,269,9,84
2021-08-16,263,5,58
2021-08-17,243,4,48
2021-08-18,266,5,50
2021-08-19,302,2,67
2021-08-20,318,2,69
2021-08-21,309,3,74
2021-08-22,255,5,65
2021-08-23,302,10,70
2021-08-24,257,4,74
2021-08-25,320,9,77
2021-08-26,297,4,58
2021-08-27,331,4,73
2021-08-28,305,7,66
2021-08-29,252,11,60
2021-08-30,224,6,49
2021-08-31,244,3,47
2021-09-01,275,3,70
2021-09-02,290,5,59
2021-09-03,319,6,71
2021-09-04,270,6,63
2021-09-05,296,7,81
2021-09-06,300,2,87
2021-09-07,398,5,87
2021-09-08,392,5,81
2021-09-09,378,7,87
2021-09-10,397,4,68
2021-09-11,297,5,71
2021-09-12,228,2,64
2021-09-13,265,3,56
2021-09-14,339,2,74
2021-09-15,355,9,68
2021-09-16,356,5,85
2021-09-17,385,5,96
2021-09-18,327,2,86
2021-09-19,252,6,53
2021-09-20,328,2,78
2021-09-21,334,4,71
2021-09-22,347,3,63
2021-09-23,347,7,58
2021-09-24,426,5,81
2021-09-25,347,8,73
2021-09-26,257,8,62
2021-09-27,346,4,59
2021-09-28,329,8,62
2021-09-29,359,4,73
2021-09-30,332,3,54
2021-10-01,407,4,83
2021-10-02,320,6,78
2021-10-03,243,3,52
2021-10-04,337,10,75
2021-10-05,323,3,68
2021-10-06,370,11,72
2021-10-07,304,6,72
2021-10-08,349,7,76
2021-10-09,339,7,64
2021-10-10,274,7,64
2021-10-11,296,4,67
2021-10-12,301,4,61
2021-10-13,312,3,53
2021-10-14,290,4,59
2021-10-15,380,4,75
2021-10-16,292,1,65
2021-10-17,246,8,47
2021-10-18,320,3,59
2021-10-19,345,7,67
2021-10-20,360,5,69
2021-10-21,340,3,54
2021-10-22,364,3,81
2021-10-23,269,6,62
2021-10-24,234,2,54
2021-10-25,312,5,79
2021-10-26,241,10,47
2021-10-27,270,3,48
2021-10-28,287,1,62
2021-10-29,363,9,70
2021-10-30,331,8,81
2021-10-31,292,6,66
2021-11-01,327,5,80
2021-11-02,380,3,77
2021-11-03,388,4,85
2021-11-04,332,6,57
2021-11-05,421,5,86
2021-11-06,310,5,77
2021-11-07,261,7,60
2021-11-08,322,3,69
2021-11-09,379,5,77
2021-11-10,361,4,88
2021-11-11,338,2,67
2021-11-12,419,2,77
2021-11-13,278,7,58
2021-11-14,235,3,58
2021-11-15,309,4,66
2021-11-16,332,2,67
2021-11-17,309,10,69
2021-11-18,330,3,69
2021-11-19,339,7,81
2021-11-20,282,8,66
2021-11-21,256,2,64
2021-11-22,342,4,73
2021-11-23,364,4,69
2021-11-24,332,2,68
2021-11-25,382,6,89
2021-11-26,435,6,92
2021-11-27,320,6,63
2021-11-28,250,4,52
2021-11-29,305,4,62
2021-11-30,337,5,61
2021-12-01,329,7,45
2021-12-02,358,5,59
2021-12-03,355,6,78
2021-12-04,321,2,62
2021-12-05,202,1,44
2021-12-06,355,2,70
2021-12-07,286,0,51
2021-12-08,322,2,51
2021-12-09,380,4,81
2021-12-10,400,7,84
2021-12-11,324,7,72
2021-12-12,227,6,50
2021-12-13,307,3,71
2021-12-14,306,7,57
2021-12-15,319,3,64
2021-12-16,270,9,43
2021-12-17,309,13,61
2021-12-18,257,8,55
2021-12-19,207,4,36
2021-12-20,248,1,44
2021-12-21,233,4,51
2021-12-22,248,6,47
2021-12-23,277,3,61
2021-12-24,262,6,56
2021-12-25,126,2,31
2021-12-26,148,3,34
2021-12-27,195,8,37
2021-12-28,143,6,35
2021-12-29,217,2,47
2021-12-30,218,3,45
2021-12-31,196,3,54
2022-01-01,185,7,50
2022-01-02,158,3,34
2022-01-03,163,1,37
2022-01-04,253,1,51
2022-01-05,298,6,64
2022-01-06,266,2,41
2022-01-07,331,3,72
2022-01-08,216,3,38
2022-01-09,224,5,51
2022-01-10,274,6,59
2022-01-11,290,5,52
2022-01-12,366,3,72
2022-01-13,417,8,99
2022-01-14,448,4,79
2022-01-15,259,6,51
2022-01-16,203,5,42
2022-01-17,400,9,82
2022-01-18,309,3,67
2022-01-19,326,9,56
2022-01-20,329,3,74
2022-01-21,370,3,63
2022-01-22,298,5,72
2022-01-23,206,4,47
