date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,surface_pressure_mean,precipitation_sum,snowfall_sum,wind_speed_10m_max,sunshine_duration,daylight_duration
2021-01-01,4.1,-2.4,0.8,1009.2,0.4,0.0,10.0,0.0,28585.05
2021-01-02,4.3,-1.0,2.5,1013.7,0.0,0.0,13.2,23191.7,28657.78
2021-01-03,5.1,-2.0,1.6,1015.4,0.6,0.0,19.7,20222.95,28736.08
2021-01-04,4.5,1.9,3.1,1017.3,2.3,0.0,26.6,0.0,28819.83
2021-01-05,3.9,0.9,2.6,1018.0,1.9,0.0,24.3,1004.72,28908.9
2021-01-06,4.9,-0.5,2.4,1017.6,3.4,0.21,18.5,14400.0,29003.21
2021-01-07,1.9,-2.3,-0.8,1016.5,0.0,0.0,11.2,23863.17,29102.6
2021-01-08,1.9,-2.4,-0.5,1016.4,0.0,0.0,8.4,993.58,29207.17
2021-01-09,2.4,-3.3,-0.7,1024.0,0.0,0.0,9.7,19041.29,29318.07
2021-01-10,2.5,-1.3,0.1,1024.2,0.0,0.0,10.8,11615.53,29435.27
2021-01-11,8.2,0.8,5.0,1016.4,0.6,0.0,29.8,22951.58,29558.5
2021-01-12,8.9,-0.4,6.1,1011.8,3.8,0.0,28.1,2431.54,29687.47
2021-01-13,8.9,-1.5,4.9,1016.7,2.6,0.0,12.2,0.0,29821.89
2021-01-14,8.9,2.0,5.1,1014.4,27.6,0.0,22.0,0.0,29961.48
2021-01-15,4.0,-0.3,1.7,1027.3,0.0,0.0,13.5,21394.71,30105.97
2021-01-16,7.1,1.6,4.0,1018.5,6.3,1.75,24.1,5739.05,30255.08
2021-01-17,7.3,2.1,4.3,1021.0,0.0,0.0,18.2,24179.85,30408.53
2021-01-18,8.0,1.5,4.4,1019.7,0.9,0.0,26.6,15280.14,30566.07
2021-01-19,10.9,8.4,10.0,1002.8,2.4,0.0,34.9,4773.02,30727.43
2021-01-20,10.4,9.3,9.9,986.9,7.2,0.0,38.5,0.0,30892.36
2021-01-21,9.0,3.7,6.0,982.3,2.3,0.0,41.4,21124.59,31060.6
2021-01-22,6.7,-0.4,2.7,989.9,0.7,0.0,13.1,28890.94,31231.92
2021-01-23,3.6,-2.7,0.6,993.4,0.0,0.0,18.9,25513.18,31406.05
2021-01-24,2.0,-3.9,-0.4,994.9,4.5,2.24,17.1,20.2,31582.79
2021-01-25,4.6,-2.6,0.4,1006.8,0.7,0.49,17.5,30044.75,31761.89
2021-01-26,5.2,-2.1,1.9,1014.1,4.1,0.0,20.4,0.0,31943.13
2021-01-27,9.4,5.8,7.5,1009.2,2.6,0.0,15.4,0.0,32126.3
2021-01-28,12.6,7.6,10.3,1000.2,14.6,0.0,28.9,21867.79,32311.47
2021-01-29,10.6,7.8,9.0,996.1,9.5,0.0,28.6,19927.59,32500.55
2021-01-30,7.3,2.8,4.7,995.9,15.4,0.0,30.8,0.0,32693.67
2021-01-31,4.1,0.6,2.3,996.5,2.0,0.07,25.3,12227.35,32890.51
2021-02-01,4.7,2.4,3.7,994.4,0.0,0.0,14.1,0.0,33090.81
2021-02-02,12.6,3.9,9.0,993.1,5.0,0.0,29.1,21401.88,33294.26
2021-02-03,9.3,4.8,7.6,994.2,2.5,0.0,25.5,4245.9,33500.61
2021-02-04,8.7,2.8,6.0,1006.4,5.3,0.0,16.6,5546.84,33709.58
2021-02-05,9.9,5.1,6.7,1006.3,0.9,0.0,15.9,23848.58,33920.91
2021-02-06,8.0,1.2,4.7,1005.0,8.8,0.0,24.1,23429.61,34134.35
2021-02-07,3.9,-1.2,1.3,1002.2,4.6,2.03,33.5,0.0,34349.65
2021-02-08,-0.5,-2.1,-1.4,1001.4,0.5,0.35,28.3,957.12,34566.57
2021-02-09,0.2,-3.2,-1.4,1004.9,1.0,0.63,20.2,7200.0,34784.88
2021-02-10,0.0,-9.8,-2.7,1013.1,0.0,0.0,19.5,33103.65,35004.35
2021-02-11,-0.7,-10.3,-5.0,1025.0,0.0,0.0,18.1,27513.19,35224.76
2021-02-12,0.3,-4.2,-2.4,1028.3,0.0,0.0,26.3,33790.13,35445.9
2021-02-13,0.2,-5.1,-2.6,1030.8,0.0,0.0,23.8,18898.53,35667.56
2021-02-14,5.0,-0.4,2.2,1024.2,0.6,0.0,29.1,10279.96,35889.52
2021-02-15,12.7,4.9,8.7,1016.4,1.8,0.0,23.4,16354.41,36111.61
2021-02-16,10.7,7.0,9.1,1008.4,2.1,0.0,27.7,509.15,36333.6
2021-02-17,10.7,6.7,9.1,1008.1,3.0,0.0,31.6,0.0,36555.61
2021-02-18,11.3,4.6,8.3,1002.0,1.3,0.0,35.1,18168.38,36779.6
2021-02-19,10.6,4.3,8.0,1006.4,1.0,0.0,33.3,6042.51,37005.77
2021-02-20,14.0,10.0,12.2,1001.6,0.5,0.0,27.8,27016.35,37233.92
2021-02-21,14.3,6.7,11.0,1006.2,0.4,0.0,21.2,23659.54,37463.82
2021-02-22,12.1,7.1,9.5,1012.4,1.0,0.0,18.8,7403.3,37695.3
2021-02-23,12.6,6.0,9.6,1021.1,0.0,0.0,31.5,35777.51,37928.14
2021-02-24,14.1,11.0,12.5,1020.7,0.0,0.0,29.3,30479.7,38162.15
2021-02-25,12.0,5.2,9.8,1024.3,0.3,0.0,22.9,679.25,38397.16
2021-02-26,10.8,-0.6,4.8,1034.9,0.0,0.0,11.2,36617.11,38632.98
2021-02-27,11.7,1.3,5.4,1038.9,0.0,0.0,11.3,36559.65,38869.42
2021-02-28,9.4,1.3,4.6,1035.5,0.0,0.0,16.8,37264.07,39106.31
2021-03-01,9.7,3.4,5.6,1030.2,0.0,0.0,18.3,25645.58,39343.49
2021-03-02,9.8,1.8,4.6,1027.9,0.0,0.0,11.6,27165.14,39580.77
2021-03-03,13.1,1.6,5.8,1025.6,6.7,0.0,8.8,14162.68,39818.0
2021-03-04,5.9,4.2,5.2,1022.9,1.7,0.0,17.8,1083.57,40055.01
2021-03-05,5.8,1.0,3.8,1029.4,0.0,0.0,23.4,16765.65,40291.63
2021-03-06,6.4,0.2,2.8,1031.9,0.0,0.0,12.4,17483.11,40527.7
2021-03-07,5.7,-1.0,2.3,1025.8,0.0,0.0,8.9,35833.11,40763.06
2021-03-08,9.0,-2.6,3.4,1021.9,0.1,0.0,9.8,23893.58,40997.56
2021-03-09,11.8,0.0,5.5,1018.3,0.0,0.0,16.4,38990.08,41231.3
2021-03-10,10.7,5.0,7.3,1006.3,6.0,0.0,37.2,0.0,41466.06
2021-03-11,11.0,5.2,9.0,993.9,1.4,0.0,46.7,31987.65,41702.06
2021-03-12,9.9,4.4,7.0,1000.3,1.0,0.0,38.1,35061.24,41939.16
2021-03-13,9.1,3.3,6.7,993.2,5.6,0.0,41.4,40189.99,42177.2
2021-03-14,10.1,3.6,7.0,1010.3,1.8,0.0,29.0,18812.7,42416.03
