date,total
2019-01-01,103
2019-01-02,83
2019-01-03,103
2019-01-04,79
2019-01-05,87
2019-01-06,85
2019-01-07,103
2019-01-08,70
2019-01-09,72
2019-01-10,82
2019-01-11,105
2019-01-12,112
2019-01-13,67
2019-01-14,72
2019-01-15,76
2019-01-16,68
2019-01-17,79
2019-01-18,99
2019-01-19,86
2019-01-20,80
2019-01-21,67
2019-01-22,67
2019-01-23,63
2019-01-24,80
2019-01-25,67
2019-01-26,79
2019-01-27,80
2019-01-28,73
2019-01-29,64
2019-01-30,66
2019-01-31,59
2019-02-01,89
2019-02-02,94
2019-02-03,101
2019-02-04,77
2019-02-05,87
2019-02-06,74
2019-02-07,78
2019-02-08,83
2019-02-09,94
2019-02-10,86
2019-02-11,68
2019-02-12,62
2019-02-13,70
2019-02-14,66
2019-02-15,97
2019-02-16,83
2019-02-17,68
2019-02-18,61
2019-02-19,65
2019-02-20,64
2019-02-21,79
2019-02-22,94
2019-02-23,99
2019-02-24,85
2019-02-25,56
2019-02-26,73
2019-02-27,76
2019-02-28,76
2019-03-01,69
2019-03-02,82
2019-03-03,83
2019-03-04,63
2019-03-05,73
2019-03-06,72
2019-03-07,64
2019-03-08,78
2019-03-09,95
2019-03-10,96
2019-03-11,82
2019-03-12,73
2019-03-13,78
2019-03-14,69
2019-03-15,97
2019-03-16,90
2019-03-17,82
2019-03-18,61
2019-03-19,80
2019-03-20,75
2019-03-21,77
2019-03-22,113
2019-03-23,108
2019-03-24,78
2019-03-25,75
2019-03-26,81
2019-03-27,64
2019-03-28,77
2019-03-29,106
2019-03-30,116
2019-03-31,87
2019-04-01,68
2019-04-02,64
2019-04-03,72
2019-04-04,90
2019-04-05,95
2019-04-06,115
2019-04-07,101
2019-04-08,90
2019-04-09,100
2019-04-10,79
2019-04-11,83
2019-04-12,78
2019-04-13,102
2019-04-14,82
2019-04-15,64
2019-04-16,73
2019-04-17,79
2019-04-18,87
2019-04-19,90
2019-04-20,126
2019-04-21,91
2019-04-22,66
2019-04-23,79
2019-04-24,79
2019-04-25,87
2019-04-26,95
2019-04-27,103
2019-04-28,106
2019-04-29,76
2019-04-30,91
2019-05-01,86
2019-05-02,88
2019-05-03,93
2019-05-04,124
2019-05-05,109
2019-05-06,97
2019-05-07,69
2019-05-08,99
2019-05-09,88
2019-05-10,71
2019-05-11,97
2019-05-12,103
2019-05-13,79
2019-05-14,72
2019-05-15,92
2019-05-16,107
2019-05-17,100
2019-05-18,115
2019-05-19,104
2019-05-20,68
2019-05-21,77
2019-05-22,79
2019-05-23,67
2019-05-24,114
2019-05-25,126
2019-05-26,128
2019-05-27,98
2019-05-28,75
2019-05-29,74
2019-05-30,97
2019-05-31,121
2019-06-01,122
2019-06-02,87
2019-06-03,98
2019-06-04,90
2019-06-05,86
2019-06-06,96
2019-06-07,102
2019-06-08,109
2019-06-09,117
2019-06-10,83
2019-06-11,92
2019-06-12,68
2019-06-13,76
2019-06-14,101
2019-06-15,119
2019-06-16,104
2019-06-17,71
2019-06-18,76
2019-06-19,73
2019-06-20,76
2019-06-21,111
2019-06-22,134
2019-06-23,120
2019-06-24,87
2019-06-25,83
2019-06-26,90
2019-06-27,104
2019-06-28,98
2019-06-29,128
2019-06-30,125
2019-07-01,112
2019-07-02,94
2019-07-03,91
2019-07-04,100
2019-07-05,101
2019-07-06,115
2019-07-07,101
2019-07-08,99
2019-07-09,76
2019-07-10,80
2019-07-11,94
2019-07-12,115
2019-07-13,109
2019-07-14,119
2019-07-15,87
2019-07-16,74
2019-07-17,85
2019-07-18,104
2019-07-19,111
