date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,surface_pressure_mean,precipitation_sum,snowfall_sum,wind_speed_10m_max,sunshine_duration,daylight_duration
2019-01-01,-8.9,-14.0,-11.4,960.2,0.0,0.0,32.1,18623.69,33860.48
2019-01-02,2.0,-11.3,-6.2,952.2,0.0,0.0,17.3,32370.86,33904.39
2019-01-03,8.0,-5.3,-0.6,946.8,0.0,0.0,13.0,32367.65,33952.25
2019-01-04,10.2,-3.0,2.1,943.7,0.0,0.0,15.1,32366.46,34003.94
2019-01-05,12.7,-0.5,4.5,945.5,0.0,0.0,13.0,32367.31,34059.36
2019-01-06,10.7,2.7,5.8,939.0,0.0,0.0,20.3,17456.15,34118.39
2019-01-07,9.8,2.3,5.5,939.8,0.0,0.0,25.1,32456.8,34180.9
2019-01-08,7.7,-1.8,3.6,957.1,0.0,0.0,36.1,32432.85,34246.78
2019-01-09,4.3,-4.7,-1.2,962.7,0.0,0.0,14.1,32391.33,34315.92
2019-01-10,7.9,-2.3,1.5,953.2,0.0,0.0,19.3,30893.82,34388.19
2019-01-11,2.7,-0.8,0.5,948.7,6.8,4.34,19.2,0.0,34463.49
2019-01-12,-0.3,-5.8,-2.6,953.9,9.8,6.86,27.4,5779.49,34541.68
2019-01-13,-0.8,-5.6,-3.5,961.0,0.0,0.0,13.0,9333.56,34622.65
2019-01-14,1.3,-7.2,-3.9,957.0,0.0,0.0,13.0,32940.33,34706.3
2019-01-15,1.9,-8.1,-4.8,950.5,0.0,0.0,13.2,32186.13,34792.51
2019-01-16,-2.3,-5.2,-3.7,951.9,0.8,0.21,17.6,600.73,34881.15
2019-01-17,1.4,-7.4,-3.0,950.1,0.0,0.0,12.9,32400.0,34972.13
2019-01-18,0.6,-6.3,-2.1,944.5,0.8,0.56,30.8,0.0,35065.33
2019-01-19,-3.7,-11.7,-8.4,956.7,0.0,0.0,31.4,33782.5,35161.02
2019-01-20,2.3,-8.7,-5.2,953.0,0.0,0.0,18.9,30153.1,35260.18
2019-01-21,4.6,-9.2,-3.6,942.7,0.0,0.0,27.4,17234.24,35362.68
2019-01-22,-2.3,-6.7,-4.6,944.5,2.1,1.47,32.7,0.0,35468.33
2019-01-23,5.6,-9.5,-3.2,947.6,0.2,0.14,21.7,34635.07,35576.97
2019-01-24,-1.1,-9.9,-4.3,954.2,0.0,0.0,28.9,27544.35,35688.41
2019-01-25,6.7,-9.2,-2.2,952.1,0.0,0.0,21.0,29268.32,35802.48
2019-01-26,8.5,-4.8,1.3,949.5,0.0,0.0,22.0,22162.01,35919.0
2019-01-27,12.0,-2.4,4.1,944.0,0.1,0.0,23.6,28712.55,36037.81
2019-01-28,7.6,-4.6,0.2,948.9,0.1,0.0,41.2,31973.83,36158.74
2019-01-29,-2.0,-10.1,-5.3,953.4,0.0,0.0,22.2,32734.9,36281.63
2019-01-30,-5.9,-16.7,-11.9,954.8,0.0,0.0,18.1,31165.01,36406.3
2019-01-31,5.3,-11.4,-4.9,948.5,0.0,0.0,17.8,35254.21,36532.62
2019-02-01,11.6,-5.6,1.6,948.5,0.0,0.0,18.9,35327.58,36660.42
2019-02-02,13.1,2.7,6.9,943.8,0.0,0.0,21.3,14690.58,36789.55
2019-02-03,15.8,4.0,8.7,934.2,0.0,0.0,26.1,25242.99,36919.86
2019-02-04,5.2,-9.6,-4.0,945.0,0.0,0.0,29.2,35546.5,37051.2
2019-02-05,-3.8,-11.7,-8.9,947.3,0.0,0.0,16.6,2542.3,37183.43
2019-02-06,-5.7,-11.2,-8.7,946.1,0.3,0.21,23.9,379.34,37316.42
2019-02-07,-8.7,-15.7,-12.1,954.8,1.4,0.98,33.7,35761.86,37450.01
2019-02-08,-3.2,-15.1,-9.7,965.2,0.0,0.0,22.1,35865.04,37584.55
2019-02-09,4.9,-7.8,-2.8,959.2,0.0,0.0,32.3,35177.35,37721.24
2019-02-10,5.1,-2.4,0.2,949.7,0.1,0.07,24.3,27416.07,37859.97
2019-02-11,-0.1,-3.0,-1.7,943.7,0.6,0.42,18.8,0.0,38000.61
2019-02-12,7.2,-6.3,-1.0,950.2,0.0,0.0,22.1,36203.52,38142.99
2019-02-13,11.1,-3.2,2.2,941.6,0.0,0.0,17.7,36000.0,38286.95
2019-02-14,8.5,-6.7,0.9,938.1,0.0,0.0,29.7,35230.61,38432.35
2019-02-15,-6.7,-16.5,-10.8,949.1,6.1,4.27,20.5,14400.0,38579.04
2019-02-16,-5.6,-16.5,-10.7,944.1,2.8,1.96,17.0,10635.53,38726.87
2019-02-17,-5.9,-12.6,-9.2,946.3,0.0,0.0,26.1,30081.25,38875.72
2019-02-18,-7.8,-14.3,-11.1,961.0,0.0,0.0,21.2,36583.78,39025.42
2019-02-19,-3.0,-11.1,-7.3,956.4,3.9,2.73,19.6,15566.24,39175.86
2019-02-20,1.4,-8.3,-4.2,940.8,1.6,1.12,18.1,36000.0,39326.89
2019-02-21,1.9,-11.7,-4.4,947.8,0.2,0.14,23.0,27393.89,39478.38
2019-02-22,1.3,-4.8,-1.4,950.1,1.4,0.77,19.5,6494.69,39630.21
2019-02-23,0.3,-4.2,-1.4,941.8,9.2,6.44,36.6,0.0,39782.24
2019-02-24,-4.2,-15.2,-8.8,956.4,0.0,0.0,28.4,38371.53,39934.36
2019-02-25,-13.6,-17.7,-15.4,956.8,0.0,0.0,25.1,38540.49,40086.42
2019-02-26,-9.8,-17.3,-14.1,956.1,0.0,0.0,24.3,18412.46,40238.33
2019-02-27,-12.2,-16.9,-13.9,957.8,0.0,0.0,29.8,36000.0,40389.94
2019-02-28,-9.6,-18.0,-13.9,952.9,0.0,0.0,10.9,38797.51,40541.59
2019-03-01,-1.9,-15.0,-8.6,950.0,0.0,0.0,25.0,36016.36,40694.43
2019-03-02,-7.1,-12.6,-9.1,958.5,0.8,0.63,26.4,9572.11,40848.41
2019-03-03,-12.9,-18.7,-16.8,962.7,5.3,3.71,27.8,36499.06,41003.42
2019-03-04,-14.2,-22.2,-18.4,960.0,0.0,0.0,16.8,39318.11,41159.33
2019-03-05,-8.3,-16.8,-13.2,959.8,0.0,0.0,20.4,39678.97,41316.02
2019-03-06,-1.1,-15.6,-8.4,953.9,0.0,0.0,20.9,35531.02,41473.4
2019-03-07,-0.4,-5.4,-3.0,948.1,0.9,0.63,25.6,39433.35,41631.34
2019-03-08,2.0,-10.6,-4.2,943.9,0.6,0.0,24.9,6399.31,41789.72
2019-03-09,3.6,-1.8,1.6,934.8,2.6,0.0,40.8,23226.05,41948.46
2019-03-10,4.3,-4.6,-0.8,953.8,0.0,0.0,18.3,38639.31,42107.42
2019-03-11,9.8,-5.2,2.4,956.9,0.0,0.0,16.7,36000.0,42266.5
2019-03-12,17.4,4.3,9.2,945.7,3.6,0.0,28.6,10800.0,42425.59
2019-03-13,16.2,7.0,11.8,922.3,25.5,0.0,41.3,10800.0,42584.6
2019-03-14,4.0,-0.1,1.8,936.6,10.1,5.39,50.4,2389.71,42743.4
2019-03-15,8.3,-2.1,2.7,958.5,0.0,0.0,28.3,41202.61,42901.9
2019-03-16,12.7,-2.7,4.3,958.6,0.0,0.0,14.0,41170.1,43059.99
2019-03-17,10.9,-3.2,4.0,958.3,0.0,0.0,14.0,40538.92,43217.55
2019-03-18,8.5,-2.7,3.8,959.7,0.8,0.0,16.1,36583.34,43374.49
2019-03-19,8.4,2.7,4.9,954.3,5.5,0.0,23.1,4703.28,43530.69
2019-03-20,14.6,-1.4,6.0,953.7,0.0,0.0,21.2,41940.72,43686.46
2019-03-21,13.5,-1.3,5.9,954.6,0.0,0.0,15.5,42161.16,43842.84
2019-03-22,15.6,1.7,8.9,951.8,0.9,0.0,17.4,36001.92,43999.83
2019-03-23,14.1,6.8,9.7,946.2,5.9,0.0,24.6,22785.66,44157.31
2019-03-24,12.8,5.3,8.6,948.8,0.0,0.0,24.6,22569.78,44315.18
2019-03-25,11.9,4.8,8.2,957.3,0.1,0.0,15.8,16714.05,44473.36
2019-03-26,18.0,3.0,9.8,956.1,0.4,0.0,24.0,41530.61,44631.74
2019-03-27,22.4,9.7,15.2,947.5,0.0,0.0,28.8,38963.77,44790.23
2019-03-28,13.4,8.0,10.0,948.0,1.5,0.0,30.0,18692.21,44948.73
2019-03-29,8.4,1.3,4.6,949.2,5.5,0.7,26.0,0.0,45107.14
2019-03-30,3.9,-1.4,1.7,956.9,5.2,3.57,32.9,39920.09,45265.35
2019-03-31,8.9,-5.9,1.6,959.7,0.0,0.0,14.8,44094.27,45423.28
2019-04-01,14.0,0.2,6.7,950.9,0.1,0.0,21.2,35239.08,45580.82
2019-04-02,12.0,-0.7,5.8,950.8,0.0,0.0,22.7,44120.69,45737.86
2019-04-03,14.7,5.1,9.5,947.7,3.3,0.0,24.2,17802.31,45894.31
2019-04-04,16.6,5.9,11.0,948.7,0.5,0.0,19.7,35426.91,46050.05
2019-04-05,21.4,6.6,13.8,946.4,0.0,0.0,29.5,43261.61,46204.99
2019-04-06,20.2,13.1,15.9,943.1,0.2,0.0,24.9,26279.86,46359.02
2019-04-07,20.9,9.8,14.7,945.1,0.0,0.0,32.5,45988.73,46512.01
2019-04-08,24.0,9.0,15.7,947.6,0.0,0.0,17.7,45068.05,46663.87
2019-04-09,22.9,9.6,16.5,943.1,0.0,0.0,22.5,40076.62,46814.88
2019-04-10,22.0,3.4,15.1,929.2,0.9,0.0,42.5,40309.05,46966.02
2019-04-11,3.0,-2.0,0.6,931.1,2.9,1.33,37.9,619.4,47117.28
